Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,10,P - Pounds,4.53592,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,23,P - Pounds,10.432616,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,19,P - Pounds,8.618248,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,96,P - Pounds,43.544832,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,145,P - Pounds,65.77084,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,27,P - Pounds,12.246984,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,301,P - Pounds,136.531192,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,749,P - Pounds,339.740408,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,79,P - Pounds,35.833768,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"HAZARDOUS WASTE, SOLID, NOS (MERCURY)",NA3077,"Hazardous waste, solid, n.o.s.",,,,12,P - Pounds,5.443104,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
