Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE ACETYLENE, DISSOLVED",UN1001,"Acetylene, dissolved",,3,CY - Cylinders,9,K - Kilograms,9,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE TRIMETHYLAMINE, ANHYDROUS",UN1083,"Trimethylamine, anhydrous",,1,CY - Cylinders,3,K - Kilograms,3,kg,D001,H121,Neutralization only (no other treatment) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE PETROLEUM GASES, LIQUEFIED (PENTANE)",UN1075,"Petroleum gases, liquefied or Liquefied petroleum gas",,3,CY - Cylinders,9,K - Kilograms,9,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE OXYGEN, COMPRESSED",UN1072,"Oxygen, compressed",,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE OXUGEN, COMPRESSED",UN1072,"Oxygen, compressed",,1,CY - Cylinders,4,K - Kilograms,4,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GASES, NOS (NITROGEN)",UN1956,"Compressed gas, n.o.s.",,1,CY - Cylinders,1,K - Kilograms,1,kg,,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,WASTE DIETHYL ETHER OR ETHYL ETHER,UN1155,Diethyl ether or Ethyl ether,,1,CY - Cylinders,1,K - Kilograms,1,kg,D001,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE ORGANOMETALLIC SUBSTANCE, LIQUID, WATER-REACTIVE, PYROPHORIC (DIISOBUTYLALUMINUM HYDRIDE IN TOLUENE)",UN3394,"Organometallic substance, liquid, pyrophoric, water-reactive",,3,CY - Cylinders,3,K - Kilograms,3,kg,D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE LITHIUM ALKYLS, LIQUID (BUTYLLITHIUM IN HEXANE)",UN2445,,,6,CY - Cylinders,18,K - Kilograms,18,kg,D003,H141,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery (H010- H129), fuel blending (H061), or disposal (H131-H135) at that receiving site. ",BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
2011,00291358 FLE,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,L5J4B1,"WASTE COMPRESSED GASES, NOS (CARBON DIOXIDE, NITROGEN, OXYGEN)",UN1956,"Compressed gas, n.o.s.",,1,CY - Cylinders,1,K - Kilograms,1,kg,,H129,Other treatment that does not include onsite disposal (specify in comments) ,BUFFALO,NY,TXD982290140,CLEAN HARBORS INC,500 INDEPENDENCE PARKWAY SOUTH,LA PORTE,TX,77571
